"nom","pk_evenement","nom_evenement","date","nom_lieu","ville","pays"
CFDT-Lip,34,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-10",Consulat suisse,Besançon,France
CGT-Lip,34,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-10",Consulat suisse,Besançon,France
Comité d'Action (CA),34,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-10",Consulat suisse,Besançon,France
Personnel Lip,34,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-10",Consulat suisse,Besançon,France
CFDT-Lip,1,manifestation des ouvrier-ère-s de Lip,"1973-05-18",Place du Port,Neuchâtel,Suisse
CFDT-Lip,5,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-18",Consulat suisse,Besançon,France
CGT-Lip,1,manifestation des ouvrier-ère-s de Lip,"1973-05-18",Place du Port,Neuchâtel,Suisse
CGT-Lip,5,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-18",Consulat suisse,Besançon,France
Comité d'Action (CA),1,manifestation des ouvrier-ère-s de Lip,"1973-05-18",Place du Port,Neuchâtel,Suisse
Comité d'Action (CA),5,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-18",Consulat suisse,Besançon,France
Personnel Lip,3,manifestation des ouvrier-ère-s de Lip,"1973-05-18",Morteau,Morteau,France
Personnel Lip,1,manifestation des ouvrier-ère-s de Lip,"1973-05-18",Place du Port,Neuchâtel,Suisse
Personnel Lip,4,manifestation des ouvrier-ère-s de Lip,"1973-05-18",Villers-le-Lac,Villers-le-Lac,France
Personnel Lip,5,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-18",Consulat suisse,Besançon,France
CFDT-Lip,7,première manifestation publique en solidarité aux ouvrier-ère-s de Lip,"1973-05-24",Place Saint-Pierre,Besançon,France
CGT-Lip,7,première manifestation publique en solidarité aux ouvrier-ère-s de Lip,"1973-05-24",Place Saint-Pierre,Besançon,France
Comité d'Action (CA),7,première manifestation publique en solidarité aux ouvrier-ère-s de Lip,"1973-05-24",Place Saint-Pierre,Besançon,France
Groupe d'ouvrier-ère-s FTMH,7,première manifestation publique en solidarité aux ouvrier-ère-s de Lip,"1973-05-24",Place Saint-Pierre,Besançon,France
Personnel Lip,7,première manifestation publique en solidarité aux ouvrier-ère-s de Lip,"1973-05-24",Place Saint-Pierre,Besançon,France
Groupe d'ouvrier-ère-s CFDT-Lip,2,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-05-25",Cercle des Travailleurs,Neuchâtel,Suisse
Groupe d'ouvrier-ère-s FTMH,2,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-05-25",Cercle des Travailleurs,Neuchâtel,Suisse
Ligue marxiste révolutionnaire (LMR),2,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-05-25",Cercle des Travailleurs,Neuchâtel,Suisse
Groupe d'ouvrier-ère-s Lip,6,regroupement devant le siège d'Ebauches S.A,"1973-05-28",Place de l'Hôtel communal,Neuchâtel,Suisse
Groupe de travailleurs FROH,6,regroupement devant le siège d'Ebauches S.A,"1973-05-28",Place de l'Hôtel communal,Neuchâtel,Suisse
Ligue marxiste révolutionnaire (LMR),6,regroupement devant le siège d'Ebauches S.A,"1973-05-28",Place de l'Hôtel communal,Neuchâtel,Suisse
CFDT-Lip,8,manifestation des ouvrier-ère-s de Lip jusqu'à l'ambassade suisse,"1973-05-29",Porte d'Italie,Paris,France
Comité d'Action (CA),8,manifestation des ouvrier-ère-s de Lip jusqu'à l'ambassade suisse,"1973-05-29",Porte d'Italie,Paris,France
Confédération française démocratique du travail (CFDT),8,manifestation des ouvrier-ère-s de Lip jusqu'à l'ambassade suisse,"1973-05-29",Porte d'Italie,Paris,France
Personnel Lip,8,manifestation des ouvrier-ère-s de Lip jusqu'à l'ambassade suisse,"1973-05-29",Porte d'Italie,Paris,France
Personnel Lip,35,regroupement devant le consulat suisse des ouvrier-ère-s de Lip,"1973-05-29",Consulat suisse,Besançon,France
CFDT-Lip,10,regroupement devant l'usine Lip des ouvrier-ère-s de Lip,"1973-06-12",Usine Lip,Besançon,France
CGT-Lip,10,regroupement devant l'usine Lip des ouvrier-ère-s de Lip,"1973-06-12",Usine Lip,Besançon,France
Comité d'Action (CA),10,regroupement devant l'usine Lip des ouvrier-ère-s de Lip,"1973-06-12",Usine Lip,Besançon,France
Personnel Lip,10,regroupement devant l'usine Lip des ouvrier-ère-s de Lip,"1973-06-12",Usine Lip,Besançon,France
CFDT-Lip,11,meeting des responsables des ouvrier-ère-s de Lip,"1973-06-13",Usine Lip,Besançon,France
CGT-Lip,11,meeting des responsables des ouvrier-ère-s de Lip,"1973-06-13",Usine Lip,Besançon,France
Comité d'Action (CA),11,meeting des responsables des ouvrier-ère-s de Lip,"1973-06-13",Usine Lip,Besançon,France
CFDT-Lip,12,manifestation « ville morte »,"1973-06-15",Place Battant,Besançon,France
CGT-Lip,12,manifestation « ville morte »,"1973-06-15",Place Battant,Besançon,France
Comité d'Action (CA),12,manifestation « ville morte »,"1973-06-15",Place Battant,Besançon,France
Personnel Lip,12,manifestation « ville morte »,"1973-06-15",Place Battant,Besançon,France
Comité d'Action (CA),14,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-06-20",Café Saint-Gervais,Bienne/Biel,Suisse
Comité d'Action (CA),13,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-06-20",Maison du Peuple,Saint-Imier,Suisse
Comité de travailleurs horlogerie - métallurgie (Comité de soutien à Lip Bienne - Jura - Neuchâtel),14,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-06-20",Café Saint-Gervais,Bienne/Biel,Suisse
Comité de travailleurs horlogerie - métallurgie (Comité de soutien à Lip Bienne - Jura - Neuchâtel),13,meeting en solidarité aux ouvrier-ère-s de Lip,"1973-06-20",Maison du Peuple,Saint-Imier,Suisse
